ISIN,Company_Name,BSE_Scrip_Code,NSE_Symbol
INE609D01014,RAMSONS PROJECTS LTD.  ,530925,
INE614F01019,MFS INTERCORP LTD.     ,513721,
INE618D01015,SUDAL INDUSTRIES LTD.  ,506003,
INE618R01015,Moongipa Securities Ltd.      ,539199,
INE621O01016,SAMRUDDHI REALTY LTD.  ,535466,
INE622B01045,ZYDEN GENTEC LTD.      ,530091,
INE629B01024,STEELCO GUJARAT LTD.   ,500399,
INE631E01016,Shalimar Agencies Limited     ,539895,
INE637N01014,PATIDAR BUILDCON LIMITED      ,524031,
INE638N01012,SHARAD FIBRES & YARN PROCESSOR,514402,
INE643D01013,N.D.METAL INDUSTRIES LTD.     ,512024,
INE649D01010,RAJ IRRIGATION PIPES & FITTING,513406,
INE651C01018,LAKSHMI PRECISION SCREWS LTD. ,506079,LAKPRE
INE652D01014,RICH UNIVERSE NETWORK LTD.    ,530271,
INE653R01012,Symbiox Investment & Trading C,539278,
INE656K01010,DQ ENTERTAINMENT (INTERNATIONA,533176,DQE
INE660B01011,CATVISION  LIMITED     ,531158,
INE662C01015,CHROMATIC INDIA LTD.   ,530191,CHROMATIC
INE662I01012,AUROMA COKE LTD.,531336,
INE664C01029,EXCEL GLASSES LTD.     ,502223,
INE666B01018,DIVYA JYOTI INDUSTRIES LTD.   ,526285,
INE670C01018,SUDEV INDUSTRIES LTD.  ,526530,
INE671D01014,HASTI FINANCE LTD.     ,531387,
INE671X01012,RAMPUR FERTILIZERS LTD ,206258,
INE679E01015,Beekay Niryat Limited  ,539546,
INE681D01039,ORIENT TRADELINK LTD.  ,531512,
INE683B01047,FIRSTOBJECT TECHNOLOGIES LTD. ,532379,
INE689J01013,LORDS ISHWAR HOTELS LIMITED   ,530065,
INE704F01018,PET PLASTICS LTD.      ,524046,
INE706D01018,UNITED INTERACTIVE LTD.,502893,
INE706F01013,SYLPH TECHNOLOGIES LTD.,511447,
INE707B01010,SEASONS TEXTILES LTD.  ,514264,
INE709D01012,ASHIANA AGRO INDUSTRIES LTD.  ,519174,
INE714U01016,IFL ENTERPRISES LIMITED,540377,
INE716K01012,SQUARE FOUR PROJECTS INDIA LIM,526532,
INE723C01015,Abhishek Finlease limited     ,538935,
INE732P01018,OCEANAA BIOTEK INDUSTRIES LTD ,538019,
INE733B01016,DR. M INDUSCORP LIMITED,203489,
INE735C01027,AMRAWORLD AGRICO LTD.  ,531991,
INE735G01010,B.NANJI ENTERPRISES LTD.      ,526594,
INE740X01015,LORENZINI APPARELS LIMITED    ,540952,
INE741B01027,GLITTEK GRANITES LTD.  ,513528,
INE741D01015,NEELKANTH ROCKMINERALS LTD.   ,531049,
INE742K01018,GLOBAL SECURITIES LTD. ,530657,
INE742R01013,ACEWIN AGRITECK LIMITED,539570,
INE747D01012,PITHAMPUR POLY PRODUCTS LTD.  ,530683,
INE748D01010,PRIME CAPITAL MARKET LTD.     ,535514,
INE751P01018,JDS FINANCE COMPANY LTD,200097,
INE751R01014,Rajputana Investment and Finan,539090,
INE753B01014,RAGHUNATH INTERNATIONAL LTD.  ,526813,
INE760Y01011,Ashoka Metcast Limited ,540923,
INE761R01013,Typhoon Financial Services Lim,539468,
INE764K01038,GFL FINANCIALS INDIA LIMITED  ,531055,
INE764M01018,TURBOTECH ENGINEERING LTD.    ,504358,
INE766A01018,PAE LTD. ,517230,PAEL
INE767V01012,ITL FINLEASE & SEC LTD ,205415,
INE769D01016,Regent Enterprises Limited    ,512624,
INE771U01016,ASIAN LAKTO IND LTD    ,203013,
INE772B01014,HARIA EXPORTS LTD.     ,512604,
INE777C01011,GSB FINANCE LTD.,511543,
INE777X01017,AKM Lace and Embrotex Limited ,540718,
INE778C01027,INTERFACE FINANCIAL SERVICES L,530519,
INE778I01024,AISHWARYA TECHNOLOGIES AND TEL,532975,
INE780Q01015,Jain Marmo Industries Ltd.    ,539119,
INE784B01035,WINSOME YARNS LTD.     ,514348,WINSOME
INE784M01016,ASIA PACK LTD.  ,530899,
INE786K01023,WAGEND INFRA VENTURE LIMITED  ,503675,
INE788M01017,COCHIN MALABAR ESTATES & INDUS,508571,
INE789R01014,Franklin Industries Limited   ,540190,
INE792C01010,SENBO INDUSTRIES LTD.  ,532021,
INE792V01010,Relstruct Buildcon Limited    ,540426,
INE793Z01027,Jonjua Overseas Limited,542446,
INE796B01013,DOLPHIN MEDICAL SERVICES LTD. ,526504,
INE796C01011,SHREE RAJASTHAN SYNTEX LTD.   ,503837,
INE797Z01010,Space Incubatrics Technologies,541890,
INE798E01013,MANIPAL FINANCE CORPORATION LT,507938,
INE802W01015,BOHRA INDUSTRIES LIMITED      ,203236,BOHRA
INE804D01029,INFO-DRIVE SOFTWARE LTD.      ,530703,
INE805E01016,Spisys Limited  ,539168,
INE805Q01010,Adcon Capital Services Limited,539506,
INE807H01023,PG INDUSTRY LTD.,531281,
INE807O01011,SDC TECHMEDIA LIMITED  ,535647,
INE813B01016,PHOTOQUIP INDIA LTD.   ,526588,
INE817A01019,MELSTAR INFORMATION TECHNOLOGI,532307,MELSTAR
INE819K01014,UPASANA FINANCE LTD.   ,511764,
INE821D01031,RANDER CORPORATION LTD.,531228,
INE823D01011,REDEX PROTECH LTD.     ,523650,
INE825D01016,Shahi Shipping Limited ,526508,
INE829G01011,FACOR STEELS LTD.      ,532657,
INE830D01016,THAMBBI MODERN SPINNING MILLS ,514484,
INE830N01015,BRONZE INFRA-TECH LTD. ,534731,
INE831C01016,ASHISH POLYPLAST LTD.  ,530429,
INE833C01012,Kome-on Communication Limited ,539910,
INE834A01014,ATCOM TECHNOLOGIES LTD.,527007,ATCOM
INE836E01011,SRI NANDAA SPINNERS LTD.      ,530667,
INE838S01017,ACCUVANT ADVISORY SER LTD     ,202434,
INE845C01016,INTERNATIONAL CONST LTD,203412,SUBCAPCITY
INE847D01010,SHREE PACETRONIX LTD.  ,527005,
INE849B01010,ACE SOFTWARE EXPORTS LTD.     ,531525,
INE850O01011,Trombo Extractions Limited    ,519303,
INE850R01014,Corporate Merchant Bankers Lim,540199,
INE851B01016,SHRI LAKSHMI COTSYN LTD.      ,526049,
INE851C01014,NEO CORP INTERNATIONAL LTD.   ,523820,
INE853B01020,INDTRADECO LTD. ,504336,
INE855P01033,QUASAR INDIA LTD,538452,
INE858C01027,UNITED CREDIT LTD.     ,531091,
INE858D01017,RAASI REFRACTORIES LTD.,502271,
INE860E01011,OBJECTONE INFORMATION SYSTEMS ,535657,
INE862C01029,MUKAT PIPES LTD.,523832,
INE863E01015,AJWA FUN WORLD & RESORT LTD.  ,526628,
INE868C01018,AHMEDABAD STEELCRAFT LTD.     ,522273,
INE868H01017,TAMILNADU JAIBHARAT MILLS LTD.,521038,
INE871B01014,ZICOM ELECTRONIC SECURITY SYST,531404,ZICOM
INE871E01018,CORPORATE COURIER AND CARGO LT,526737,
INE873A01020,DATAPRO INFORMATION TECHNOLOGY,517473,
INE874E01012,dynamic Archistructures Limite,539681,
INE874F01027,RADAAN MEDIAWORKS (I) LTD.    ,590070,RADAAN
INE876E01033,NIHAR INFO GLOBAL LTD. ,531083,
INE882C01035,VEERHEALTH CARE LIMITED,511523,
INE883D01015,KBS INDIA LIMITED      ,530357,
INE884X01011,TRINITY LEAGUE INDIA LTD.     ,531846,
INE886D01018,AMANI TRADING & EXPORTS LTD.  ,512008,
INE886E01016,MULTIPLUS HOLDINGS LTD.,505594,
INE888E01020,ASIS LOGISTICS LIMITED ,506159,
INE888N01013,STANDARD SHOE SOLE AND MOULD (,523351,
INE890S01018,Visco Trade Associates Ltd    ,540097,
INE891B01012,DCM FINANCIAL SERVICES LTD.   ,511611,DCMFINSERV
INE891N01017,Anubhav Infrastructure Limited,538833,
INE894E01028,Salem Erode Investments Ltd.  ,540181,
INE895E01017,SC Agrotech Limited    ,526081,
INE899B01015,BRAWN BIOTECH LTD.     ,530207,
INE903C01013,ADVANCED MICRONIC DEVICES LTD.,517552,
INE906K01027,OSWAL OVERSEAS LTD.    ,531065,
INE907D01012,S.T. SERVICES LIMITED  ,538876,
INE911B01018,TCI FINANCE LTD.,501242,TCIFINANCE
INE920A01011,DOLPHIN OFFSHORE ENTERPRISES (,522261,DOLPHINOFF
INE923K01014,VSF PROJECTS LTD.      ,519331,
INE925D01014,GARWARE MARINE INDUSTRIES LTD.,509563,
INE926D01012,HYTONE TEXSTYLES LTD.  ,514258,
INE926E01010,Kabra Commercial Limited      ,539393,
INE927E01018,KAMINI FINANCE & INV LTD      ,201835,
INE929D01016,Rajasthan Cylinders & Containe,538707,
INE930A01010,HEMANG RESOURCES LIMITED      ,531178,
INE931B01016,HOWARD HOTELS LTD.     ,526761,
INE933C01036,ASAHI INFRASTRUCTURE & PROJECT,512535,
INE934A01012,INTEGRATED HITECH LTD. ,532303,
INE935D01013,Indus Finance Limited  ,531841,
INE936T01017,LARK TRADING & FINANCE L      ,206402,
INE940E01011,EURO LEDER FASHION LTD.,526468,
INE942E01017,MARG PROJECTS AND INFRASTRUCTU,513648,
INE943B01029,SOUTHERN ISPAT AND ENERGY LTD ,531645,
INE944E01013,ANKUR MARKETING LIMITED,206516,
INE948K01011,SW INVESTMENTS LTD     ,503659,
